Trial,TSFC,Thrust_kN,CO2,NOx,SAF_Total,Phi,LCA,HEFA_Frac,FT_Frac,ATJ_Frac,ParetoOptimal
0,26.995062890699547,78.71524933940916,5701.429305212342,93.15525246121128,0.18727005942368125,0.3968055921327309,0.8490894445629646,0.07804108043058805,0.060087028986998754,0.04914195000609445,True
1,34.34205707074937,87.7146676972741,8912.016464901557,184.00835431493215,0.07799726016810132,0.5624217733388136,0.9362468500411766,0.0029699997009375663,0.04429033935529354,0.03073692111187022,True
2,27.373049067094083,79.17061087762266,6789.60979862707,96.79959555693151,0.010292247147901223,0.40454749016213015,0.9914494163886038,0.004954878400047132,0.004252613839302773,0.0010847549085513195,True
3,28.905201121803096,81.04102684677872,6854.278583398662,112.66605240963918,0.09170225492671691,0.43736874205941256,0.9259632241388017,0.022126047239903662,0.03816296344253001,0.03141324424428324,True
4,31.110684907625757,83.75689165222721,6242.320171753206,138.67836400153047,0.30592644736118974,0.4868209952651108,0.75810407929108,0.053477246075520575,0.11199841474267529,0.14045078654299387,True
5,25.37017485171955,76.76265209730464,4235.699397739003,78.58450788848677,0.3925879806965068,0.3639351238159993,0.6882791556783008,0.060007777227516795,0.15454240055696403,0.17803780291202592,True
6,37.41297518933285,91.49215620300366,8433.201365146351,236.10923560618713,0.3037724259507192,0.6396896099223678,0.7796492744394159,0.043733407541965495,0.016683433204420645,0.24335558520433304,True
7,30.8901511470586,83.4909195794593,5692.316749430538,135.9213527255372,0.40419867405823057,0.4820457481218804,0.6984618630399074,0.11332014611201656,0.0363352525406476,0.2545432754055664,True
8,28.4558908236437,80.49105256366187,6911.3440972364415,107.83322372868089,0.06101911742238941,0.42763399448000505,0.9548950470735411,0.0209990656128207,0.001458320847521088,0.03856173096204763,True
9,27.398535709106014,79.20947545231913,5044.890959230024,97.06836401046749,0.331261142176991,0.4054563366576581,0.7356313193294641,0.07490646561854003,0.12497617292394063,0.1313785036345103,True
