NPR,fuel,T_exit_reg,T_exit_le,T_exit_isen,P_exit_reg,P_exit_le,P_exit_isen,u_exit_reg,u_exit_le,u_exit_isen,thrust_reg,thrust_le,thrust_isen,mass_err_reg,mass_err_le,fallback_reg,fallback_le,eos_err_reg,eos_err_le
4.0,JetA1,1205.2180166410933,1205.2180166410933,1459.2274678111587,101325.0,101325.0,219009.53634785034,1178.1335075981353,1178.1335075981353,746.3254764097213,58906.67537990677,58906.67537990677,59382.124385708004,7.62939453125e-08,0.7707250219312641,True,True,3.3363109242320215e-08,3.3363109242320215e-08
4.0,HEFA50,1234.5594276971763,1234.5594276971763,1478.2608695652175,101325.0,101325.0,221183.45051484054,1169.2122876222168,1169.2122876222168,742.656805284098,58460.61438111084,58460.61438111084,59606.299735737506,7.62939453125e-08,0.7707250219312641,True,True,3.0469063879305356e-08,3.0469063879305356e-08
4.0,BioSPK,1255.3022240485745,1255.3022240485745,1491.2280701754385,101325.0,101325.0,222658.9416782545,1166.938061714744,1166.938061714744,740.1469744987472,58346.9030857372,58346.9030857372,59757.46278961008,7.62939453125e-08,0.7707250219312641,True,True,3.073222985679797e-08,3.073222985679797e-08
5.0,JetA1,1140.303017815205,1140.303017815205,1459.2274678111587,101325.0,101325.0,273761.9204348129,1239.8802599545766,1239.8802599545766,746.3254764097213,61994.01299772883,61994.01299772883,63181.811885708004,0.0,0.7672566399372736,True,True,3.906828883389777e-08,3.906828883389777e-08
5.0,HEFA50,1172.595305494672,1172.595305494672,1478.2608695652175,101325.0,101325.0,276479.31314355065,1231.1666283703387,1231.1666283703387,742.656805284098,61558.33141851694,61558.33141851694,63405.987235737506,7.62939453125e-08,0.7672566399372736,True,True,3.611392865122906e-08,3.611392865122906e-08
5.0,BioSPK,1195.4990433624407,1195.4990433624407,1491.2280701754385,101325.0,101325.0,278323.6770978181,1229.330058037262,1229.330058037262,740.1469744987472,61466.5029018631,61466.5029018631,63557.15028961009,7.62939453125e-08,0.7672566399372736,True,True,3.967781048039528e-08,3.967781048039528e-08
6.0,JetA1,1089.8677435453315,1089.8677435453315,1459.2274678111587,101325.0,101325.0,328514.3045217755,1285.8087687699667,1285.8087687699667,746.3254764097213,64290.438438498335,64290.438438498335,65714.93688570801,7.62939453125e-08,0.7591771167480329,True,True,3.720312672628453e-08,3.720312672628453e-08
6.0,HEFA50,1124.2827723159642,1124.2827723159642,1478.2608695652175,101325.0,101325.0,331775.1757722608,1277.388486891003,1277.388486891003,742.656805284098,63869.42434455015,63869.42434455015,65939.1122357375,0.0,0.7591771167480329,True,True,3.6568215305941424e-08,3.6568215305941424e-08
6.0,BioSPK,1148.757435286351,1148.757435286351,1491.2280701754385,101325.0,101325.0,333988.4125173817,1275.9727315989644,1275.9727315989644,740.1469744987472,63798.63657994822,63798.63657994822,66090.27528961009,0.0,0.7591771167480329,True,True,4.094565891812346e-08,4.094565891812346e-08
6.5,JetA1,1068.4362511360193,1068.4362511360193,1459.2274678111587,101325.0,101325.0,355890.4965652568,1304.8358603238783,1304.8358603238783,746.3254764097213,65241.793016193915,65241.793016193915,66689.21573186186,1.52587890625e-07,0.7582734243170557,True,True,3.473533802947151e-08,3.473533802947151e-08
6.5,HEFA50,1103.7063250465865,1103.7063250465865,1478.2608695652175,101325.0,101325.0,359423.10708661587,1296.5742631597284,1296.5742631597284,742.656805284098,64828.71315798642,64828.71315798642,66913.39108189136,0.0,0.7582734243170557,True,True,3.0651008720359054e-08,3.0651008720359054e-08
6.5,BioSPK,1128.8185162064754,1128.8185162064754,1491.2280701754385,101325.0,101325.0,361820.7802271636,1295.3585254607358,1295.3585254607358,740.1469744987472,64767.92627303679,64767.92627303679,67064.55413576393,0.0,0.7582734243170557,True,True,3.7540592551103036e-08,3.7540592551103036e-08
7.0,JetA1,1048.9696950672094,1048.9696950672094,1459.2274678111587,101325.0,101325.0,383266.68860873807,1321.8811222441368,1321.8811222441368,746.3254764097213,66094.05611220685,66094.05611220685,67524.311885708,7.62939453125e-08,0.7553168672881584,True,True,3.87406921068286e-08,3.87406921068286e-08
7.0,HEFA50,1084.9914023055067,1084.9914023055067,1478.2608695652175,101325.0,101325.0,387071.0384009709,1313.7810451010412,1313.7810451010412,742.656805284098,65689.05225505205,65689.05225505205,67748.4872357375,7.62939453125e-08,0.7553168672881584,True,True,3.117746945966689e-08,3.117746945966689e-08
7.0,BioSPK,1110.666633701896,1110.666633701896,1491.2280701754385,101325.0,101325.0,389653.1479369454,1312.7579425565325,1312.7579425565325,740.1469744987472,65637.89712782663,65637.89712782663,67899.65028961009,0.0,0.7553168672881584,True,True,2.803658365139663e-08,2.803658365139663e-08
8.0,JetA1,1014.7848203308635,1014.7848203308635,1459.2274678111587,101325.0,101325.0,438019.0726957007,1351.2937923482864,1351.2937923482864,746.3254764097213,67564.68961741432,67564.68961741432,68881.34313570801,7.62939453125e-08,0.7550982468864299,True,True,2.8754184230781048e-08,2.8754184230781048e-08
8.0,HEFA50,1052.0673425096138,1052.0673425096138,1478.2608695652175,101325.0,101325.0,442366.9010296811,1343.5171669825909,1343.5171669825909,742.656805284098,67175.85834912954,67175.85834912954,69105.5184857375,7.62939453125e-08,0.7550982468864299,True,True,2.875647798953273e-08,2.875647798953273e-08
8.0,BioSPK,1078.6933136129733,1078.6933136129733,1491.2280701754385,101325.0,101325.0,445317.883356509,1342.8576677993713,1342.8576677993713,740.1469744987472,67142.88338996856,67142.88338996856,69256.68153961009,7.62939453125e-08,0.7550982468864299,True,True,3.256978848539043e-08,3.256978848539043e-08
